p_brand,p_cate,p_image,p_mall,p_name,p_number_reviews,p_price,p_rate1star,p_rate2star,p_rate3star,p_rate4star,p_rate5star,p_rating,s_name,s_rating,s_response_rate,s_ship_ontime
No Brand,TV & Video,//vn-live-05.slatic.net/p/e6d7990a980c735b769dbf595ef608ca.jpg_720x720q80.jpg_.webp,Non-Mall,[HCM]Sony 1370 - Remote điều khiển tivi Sony Smart thông minh - RM-L1370,140 đánh giá,45.000 ₫,1,1,4,5,129,4.9,Kỹ Thuật Phần Cứng - lqv77,97%,88%,100%
No Brand,TV & Video,//vn-live-05.slatic.net/p/711149c5b5824a56ce1e74450aa47f1c.jpg_720x720q80.jpg_.webp,Non-Mall,Điều khiển cửa cuốn 8 mã gạt 2 tay mã gạt 433 mhz chống nước,16 đánh giá,270.000 ₫,0,0,0,1,15,4.9,ĐIỀU KHIỂN CỬA CUỐN THÀNH TRUNG,95%,100%,100%
OEM,TV & Video,//vn-live-05.slatic.net/p/d05bfd86ab0590d1bb45dbf80c71babd.jpg_720x720q80.jpg_.webp,Non-Mall,"COMBO 2 Vỏ Bọc Silicon Bảo Vệ Remote, Điều Khiển TV - Điều Hòa, Chống Hư Hóng, Đổ Nước",8 đánh giá,24.600 ₫,0,2,0,0,6,4.3,giadunghanoi,91%,100%,100%
No Brand,TV & Video,//vn-live-05.slatic.net/p/f10d2542b4b4e72c61ff248d182aad1f.jpg_720x720q80.jpg_.webp,Non-Mall,[HCM]FPT - Remote điều khiển đầu thu truyền hình FPT,113 đánh giá,50.000 ₫,6,0,5,2,100,4.7,Kỹ Thuật Phần Cứng - lqv77,97%,88%,100%
No Brand,TV & Video,//vn-live-05.slatic.net/p/0e6bb3994c5ceb2c92541de0fcbefd06.jpg_720x720q80.jpg_.webp,Non-Mall,Chuột Khiển G10 Hỗ Trợ Tìm Kiếm Giọng Nói 1 Chạm 1 Nút Học Lệnh,84 đánh giá,93.000 ₫,1,3,0,6,74,4.8,ngocdangcatv,96%,91%,100%
No Brand,TV & Video,https://cf.shopee.vn/file/bbd9d3e33f77237b9fd8e8a7d900a158,Non-Mall,"Giá đỡ 2 màn hình Máy Tính Kẹp Bàn, chuyển động Đầy Đủ 360 độ cho màn Hình 10-27inch M052",24 đánh giá,432.391 ₫,0,0,0,0,24,5.0,Điện Tử Phúc An,98%,86%,100%
OEM,TV & Video,//vn-live-05.slatic.net/original/c6a28db7be88e68d73e530da4ba96c36.jpg_720x720q80.jpg_.webp,Non-Mall,[HCM]REMOTE ĐIỀU KHIỂN TIVI SAMSUNG SMART DÒNG BN59/RM1088+ (ĐEN-NGẮN),83 đánh giá,30.900 ₫,2,0,2,4,75,4.8,ĐIỆN TỬ TUỆ LÂM,96%,99%,100%
No Brand,TV & Video,//vn-live-05.slatic.net/p/a5f7268ca36a7e85b0b23530137db49d.jpg_720x720q80.jpg_.webp,Non-Mall,Remote cửa cuốn 8 mã gạt 433 mhz,35 đánh giá,105.000 ₫,1,0,0,3,31,4.8,ĐIỀU KHIỂN CỬA CUỐN THÀNH TRUNG,95%,100%,100%
FPT Play Box,TV & Video,//vn-live-05.slatic.net/p/b306d8e197ecf1dbc72939b1dfca1530.jpg_720x720q80.jpg_.webp,Non-Mall,Remote thay thế điều khiển FPT Playbox 2019 S400,18 đánh giá,68.150 ₫,2,0,0,3,13,4.4,Shop87VN ,96%,81%,100%
No Brand,TV & Video,//vn-live-05.slatic.net/p/6720fcd96a1ae30958cab3cb4a9aeea4.jpg_720x720q80.jpg_.webp,Non-Mall,"Jack TV Rắc Tivi Đực Cái F5 5C, Đầu Nối Cáp TV, Đầu BNC (Loại 1)",7 đánh giá,2.375 ₫,0,0,0,0,7,5.0,ngocdangcatv,96%,91%,100%
